Zeit;Kanal A
(ms);(mV)

-21.96833246;0.93996060
-21.96333246;1.31643700
-21.95833246;1.50467500
-21.95333246;1.31643700
-21.94833246;1.31643700
-21.94333246;1.50467500
-21.93833246;1.50467500
-21.93333246;1.12819900
-21.92833246;1.50467500
-21.92333246;1.69291300
-21.91833246;1.50467500
-21.91333246;1.31643700
-21.90833246;2.06877400
-21.90333246;2.06877400
-21.89833246;1.50467500
-21.89333246;1.69291300
-21.88833246;2.06877400
-21.88333246;1.88053600
-21.87833246;1.69291300
-21.87333246;1.31643700
-21.86833246;1.12819900
-21.86333246;1.50467500
-21.85833246;0.75233760
-21.85333246;1.12819900
-21.84833246;1.12819900
-21.84333246;1.12819900
-21.83833247;0.93996060
-21.83333247;1.31643700
-21.82833247;1.12819900
-21.82333247;1.69291300
-21.81833247;1.88053600
-21.81333247;1.12819900
-21.80833247;2.44525100
-21.80333247;2.06877400
-21.79833247;2.82111200
-21.79333247;2.44525100
-21.78833247;2.44525100
-21.78333247;2.82111200
-21.77833247;3.00935000
-21.77333247;2.82111200
-21.76833247;2.82111200
-21.76333247;2.82111200
-21.75833247;2.82111200
-21.75333247;3.38582700
-21.74833247;3.19758800
-21.74333247;3.19758800
-21.73833247;3.38582700
-21.73333247;2.82111200
-21.72833247;2.82111200
-21.72333247;3.38582700
-21.71833247;3.00935000
-21.71333247;3.19758800
-21.70833247;3.76168800
-21.70333247;4.32640200
-21.69833247;3.38582700
-21.69333247;4.32640200
-21.68833247;3.94992600
-21.68333247;4.32640200
-21.67833247;3.94992600
-21.67333247;5.45460100
-21.66833247;4.51402500
-21.66333247;4.32640200
-21.65833247;4.32640200
-21.65333247;5.26697800
-21.64833247;3.94992600
-21.64333247;5.26697800
-21.63833247;4.32640200
-21.63333247;4.32640200
-21.62833247;4.32640200
-21.62333247;4.13816400
-21.61833247;3.94992600
-21.61333247;3.94992600
-21.60833247;3.76168800
-21.60333247;2.82111200
-21.59833247;3.00935000
-21.59333247;3.00935000
-21.58833247;2.06877400
-21.58333247;3.19758800
-21.57833247;1.88053600
-21.57333247;3.19758800
-21.56833247;1.69291300
-21.56333247;2.06877400
-21.55833247;0.93996060
-21.55333247;0.93996060
-21.54833247;0.37586120
-21.54333247;1.12819900
-21.53833247;0.75233760
-21.53333247;0.56409940
-21.52833247;1.12819900
-21.52333247;1.69291300
-21.51833247;1.50467500
-21.51333247;1.12819900
-21.50833247;2.06877400
-21.50333247;1.69291300
-21.49833247;1.88053600
-21.49333247;2.06877400
-21.48833247;2.44525100
-21.48333247;2.25701300
-21.47833247;2.82111200
-21.47333247;2.44525100
-21.46833247;2.44525100
-21.46333247;3.00935000
-21.45833247;3.00935000
-21.45333247;2.44525100
-21.44833247;2.82111200
-21.44333248;2.82111200
-21.43833248;3.00935000
-21.43333248;2.82111200
-21.42833248;3.00935000
-21.42333248;3.00935000
-21.41833248;3.38582700
-21.41333248;3.19758800
-21.40833248;3.57345000
-21.40333248;3.38582700
-21.39833248;2.44525100
-21.39333248;3.38582700
-21.38833248;2.06877400
-21.38333248;2.82111200
-21.37833248;2.44525100
-21.37333248;3.38582700
-21.36833248;1.50467500
-21.36333248;1.31643700
-21.35833248;1.69291300
-21.35333248;0.37586120
-21.34833248;1.31643700
-21.34333248;-0.18762300
-21.33833248;0.00000000
-21.33333248;-0.56409940
-21.32833248;-0.93996060
-21.32333248;-1.31643700
-21.31833248;-1.50467500
-21.31333248;-1.12819900
-21.30833248;-0.37586120
-21.30333248;-1.12819900
-21.29833248;-1.12819900
-21.29333248;-0.18762300
-21.28833248;-1.31643700
-21.28333248;-0.75233760
-21.27833248;-0.75233760
-21.27333248;-0.56409940
-21.26833248;-0.93996060
-21.26333248;-0.56409940
-21.25833248;-0.75233760
-21.25333248;-1.12819900
-21.24833248;-1.31643700
-21.24333248;-1.69291300
-21.23833248;-1.12819900
-21.23333248;-1.69291300
-21.22833248;-1.69291300
-21.22333248;-1.31643700
-21.21833248;-1.69291300
-21.21333248;-1.31643700
-21.20833248;-1.69291300
-21.20333248;-1.88053600
-21.19833248;-0.75233760
-21.19333248;-0.93996060
