Zeit;Kanal A
(ms);(V)

-4,95919508;1,02731300
-4,95909108;1,02731300
-4,95898708;1,02731300
-4,95888308;1,02731300
-4,95877908;0,98071480
-4,95867508;1,02731300
-4,95857108;1,02731300
-4,95846708;0,98071480
-4,95836308;1,02731300
-4,95825908;1,02731300
-4,95815508;1,02731300
-4,95805108;1,02731300
-4,95794708;0,98071480
-4,95784308;1,02731300
-4,95773908;1,02731300
-4,95763508;1,02731300
-4,95753108;0,98071480
-4,95742708;1,02731300
-4,95732308;0,98071480
-4,95721908;1,02731300
-4,95711508;1,02731300
-4,95701108;1,02731300
-4,95690708;0,98071480
-4,95680308;1,02731300
-4,95669908;1,02731300
-4,95659508;1,02731300
-4,95649108;0,98071480
-4,95638708;0,98071480
-4,95628308;1,02731300
-4,95617908;1,02731300
-4,95607508;1,02731300
-4,95597108;1,02731300
-4,95586708;1,07406500
-4,95576308;1,02731300
-4,95565908;1,02731300
-4,95555508;1,02731300
-4,95545108;1,02731300
-4,95534708;1,02731300
-4,95524308;1,02731300
-4,95513908;1,02731300
-4,95503508;1,02731300
-4,95493108;0,98071480
-4,95482708;0,98071480
-4,95472308;1,02731300
-4,95461908;0,98071480
-4,95451508;1,02731300
-4,95441108;0,98071480
-4,95430708;1,02731300
-4,95420308;0,98071480
-4,95409908;1,02731300
-4,95399508;1,02731300
-4,95389108;1,02731300
-4,95378708;0,98071480
-4,95368308;0,98071480
-4,95357908;0,98071480
-4,95347508;1,02731300
-4,95337108;1,02731300
-4,95326708;1,02731300
-4,95316308;1,02731300
-4,95305908;1,02731300
-4,95295508;0,98071480
-4,95285108;1,02731300
-4,95274708;0,98071480
-4,95264308;1,02731300
-4,95253908;0,98071480
-4,95243508;1,02731300
-4,95233108;0,98071480
-4,95222708;1,02731300
-4,95212308;0,98071480
-4,95201908;1,02731300
-4,95191508;0,98071480
-4,95181108;1,02731300
-4,95170708;0,98071480
-4,95160308;1,02731300
-4,95149908;1,02731300
-4,95139508;1,02731300
-4,95129108;1,02731300
-4,95118708;1,02731300
-4,95108308;1,02731300
-4,95097908;1,02731300
-4,95087508;1,02731300
-4,95077108;1,02731300
-4,95066708;0,98071480
-4,95056308;0,98071480
-4,95045908;0,98071480
-4,95035508;1,02731300
-4,95025108;0,98071480
-4,95014708;1,02731300
-4,95004308;0,98071480
-4,94993908;1,02731300
-4,94983508;0,98071480
-4,94973108;1,02731300
-4,94962708;1,02731300
-4,94952308;1,02731300
-4,94941908;0,98071480
-4,94931508;1,02731300
-4,94921108;0,98071480
-4,94910708;1,02731300
-4,94900308;1,02731300
-4,94889908;1,02731300
-4,94879508;0,98071480
-4,94869108;1,02731300
-4,94858708;1,02731300
-4,94848308;1,02731300
-4,94837908;0,98071480
-4,94827508;1,02731300
-4,94817108;1,02731300
-4,94806708;0,98071480
-4,94796308;1,02731300
-4,94785908;1,02731300
-4,94775508;0,98071480
-4,94765108;1,02731300
-4,94754708;1,02731300
-4,94744308;1,02731300
-4,94733908;1,02731300
-4,94723508;1,02731300
-4,94713108;1,02731300
-4,94702708;1,02731300
-4,94692308;1,02731300
-4,94681908;1,02731300
-4,94671508;0,98071480
-4,94661108;1,02731300
-4,94650708;0,98071480
-4,94640308;1,02731300
-4,94629908;0,98071480
-4,94619508;1,02731300
-4,94609108;1,02731300
-4,94598708;1,02731300
-4,94588308;1,02731300
-4,94577908;0,98071480
-4,94567508;0,98071480
-4,94557108;1,02731300
-4,94546708;1,02731300
-4,94536308;1,02731300
-4,94525908;0,98071480
-4,94515508;1,07406500
-4,94505108;1,07406500
-4,94494708;1,02731300
-4,94484308;0,98071480
-4,94473908;1,02731300
-4,94463508;0,98071480
-4,94453108;1,02731300
-4,94442708;1,02731300
-4,94432308;1,02731300
-4,94421908;1,02731300
-4,94411508;1,02731300
-4,94401108;0,98071480
-4,94390708;1,02731300
-4,94380308;0,98071480
-4,94369908;1,02731300
-4,94359508;0,98071480
-4,94349108;1,02731300
-4,94338708;1,02731300
-4,94328308;1,02731300
-4,94317908;0,98071480
-4,94307508;1,02731300
-4,94297108;0,98071480
-4,94286708;0,98071480
-4,94276308;1,02731300
-4,94265908;1,02731300
-4,94255508;0,98071480
-4,94245108;1,02731300
-4,94234708;1,02731300
-4,94224308;1,02731300
-4,94213908;1,02731300
-4,94203508;1,02731300
-4,94193108;0,98071480
-4,94182708;1,02731300
-4,94172308;1,02731300
-4,94161908;1,02731300
-4,94151508;0,98071480
-4,94141108;1,02731300
-4,94130708;0,98071480
-4,94120308;1,02731300
-4,94109908;1,02731300
-4,94099508;1,02731300
-4,94089108;1,02731300
-4,94078708;1,02731300
-4,94068308;0,98071480
-4,94057908;1,02731300
-4,94047508;1,02731300
-4,94037108;1,02731300
-4,94026708;0,98071480
-4,94016308;1,02731300
-4,94005908;1,02731300
-4,93995508;1,02731300
-4,93985108;0,98071480
-4,93974708;1,02731300
-4,93964308;0,98071480
-4,93953908;0,98071480
-4,93943508;0,98071480
-4,93933108;1,02731300
-4,93922708;0,98071480
-4,93912308;1,02731300
-4,93901908;1,02731300
-4,93891508;1,02731300
-4,93881108;0,98071480
-4,93870708;0,88721080
-4,93860308;0,98071480
-4,93849908;1,02731300
-4,93839508;1,02731300
-4,93829108;1,02731300
-4,93818708;1,02731300
-4,93808308;1,02731300
-4,93797908;1,02731300
-4,93787508;1,02731300
-4,93777108;0,98071480
-4,93766708;1,02731300
-4,93756308;0,98071480
-4,93745908;1,02731300
-4,93735508;0,98071480
-4,93725108;1,02731300
-4,93714708;0,98071480
-4,93704308;1,02731300
-4,93693908;0,98071480
-4,93683508;1,02731300
-4,93673108;1,02731300
-4,93662708;1,02731300
-4,93652308;1,02731300
-4,93641908;0,98071480
-4,93631508;1,02731300
-4,93621108;1,02731300
-4,93610708;0,98071480
-4,93600308;1,02731300
-4,93589908;1,02731300
-4,93579508;1,02731300
-4,93569108;0,98071480
-4,93558708;1,02731300
-4,93548308;1,02731300
-4,93537908;1,02731300
-4,93527508;0,98071480
-4,93517108;0,98071480
-4,93506708;0,98071480
-4,93496308;1,02731300
-4,93485908;0,98071480
-4,93475508;1,02731300
-4,93465108;1,02731300
-4,93454708;1,02731300
-4,93444308;0,98071480
-4,93433908;1,02731300
-4,93423508;0,98071480
-4,93413108;1,02731300
-4,93402708;0,98071480
-4,93392308;1,02731300
-4,93381908;1,02731300
-4,93371508;1,02731300
-4,93361108;1,02731300
-4,93350708;1,02731300
-4,93340308;0,98071480
-4,93329908;1,02731300
-4,93319508;0,98071480
-4,93309108;1,02731300
-4,93298708;0,98071480
-4,93288308;1,02731300
-4,93277908;1,02731300
-4,93267508;0,98071480
-4,93257108;1,02731300
-4,93246708;1,02731300
-4,93236308;1,02731300
-4,93225908;1,02731300
-4,93215508;1,07406500
-4,93205108;1,02731300
-4,93194708;1,02731300
-4,93184308;1,02731300
-4,93173908;1,02731300
-4,93163508;1,02731300
-4,93153108;1,02731300
-4,93142708;1,02731300
-4,93132308;1,02731300
-4,93121908;1,02731300
-4,93111508;0,98071480
-4,93101108;0,98071480
-4,93090708;0,98071480
-4,93080308;0,98071480
-4,93069908;0,98071480
-4,93059508;1,02731300
-4,93049108;0,98071480
-4,93038708;1,02731300
-4,93028308;1,02731300
-4,93017908;1,02731300
-4,93007508;0,98071480
-4,92997108;1,02731300
-4,92986708;1,02731300
-4,92976308;1,02731300
-4,92965908;1,02731300
-4,92955508;1,02731300
-4,92945108;0,98071480
-4,92934708;0,98071480
-4,92924308;1,02731300
-4,92913908;1,02731300
-4,92903508;0,98071480
-4,92893108;0,98071480
-4,92882708;0,98071480
-4,92872308;1,02731300
-4,92861908;0,98071480
-4,92851508;1,02731300
-4,92841108;0,98071480
-4,92830708;0,98071480
-4,92820308;0,98071480
-4,92809908;1,02731300
-4,92799508;1,07406500
-4,92789108;1,02731300
-4,92778708;1,02731300
-4,92768308;1,02731300
-4,92757908;0,98071480
-4,92747508;1,02731300
-4,92737108;0,98071480
-4,92726708;1,02731300
-4,92716308;0,98071480
-4,92705908;1,02731300
-4,92695508;1,02731300
-4,92685108;0,98071480
-4,92674708;0,98071480
-4,92664308;1,02731300
-4,92653908;1,02731300
-4,92643508;1,02731300
-4,92633108;1,02731300
-4,92622708;1,02731300
-4,92612308;0,98071480
-4,92601908;1,02731300
-4,92591508;0,98071480
-4,92581108;1,02731300
-4,92570708;0,98071480
-4,92560308;1,02731300
-4,92549908;0,98071480
-4,92539508;1,02731300
-4,92529108;1,02731300
-4,92518708;0,98071480
-4,92508308;0,98071480
-4,92497908;1,02731300
-4,92487508;0,98071480
-4,92477108;1,02731300
-4,92466708;0,98071480
-4,92456308;1,02731300
-4,92445908;0,98071480
-4,92435508;1,02731300
-4,92425108;0,98071480
-4,92414708;1,02731300
-4,92404308;1,02731300
-4,92393908;1,02731300
-4,92383508;0,98071480
-4,92373108;1,12081700
-4,92362708;1,02731300
-4,92352308;1,02731300
-4,92341908;1,02731300
-4,92331508;0,98071480
-4,92321108;0,98071480
-4,92310708;1,02731300
-4,92300308;0,98071480
-4,92289908;1,02731300
-4,92279508;0,98071480
-4,92269108;0,98071480
-4,92258708;0,98071480
-4,92248308;1,07406500
-4,92237908;0,98071480
-4,92227508;0,98071480
-4,92217108;0,98071480
-4,92206708;1,02731300
-4,92196308;0,98071480
-4,92185908;1,02731300
-4,92175508;0,98071480
-4,92165108;1,02731300
-4,92154708;1,07406500
-4,92144308;0,98071480
-4,92133908;0,98071480
-4,92123508;1,02731300
-4,92113108;0,98071480
-4,92102708;1,02731300
-4,92092308;1,02731300
-4,92081908;1,02731300
-4,92071508;0,98071480
-4,92061108;1,02731300
-4,92050708;0,98071480
-4,92040308;1,02731300
-4,92029908;1,02731300
-4,92019508;1,02731300
-4,92009108;0,98071480
-4,91998708;1,02731300
-4,91988308;0,98071480
-4,91977908;1,02731300
-4,91967508;0,98071480
-4,91957108;1,02731300
-4,91946708;1,02731300
-4,91936308;1,02731300
-4,91925908;1,02731300
-4,91915508;1,02731300
-4,91905108;1,02731300
-4,91894708;0,98071480
-4,91884308;0,98071480
-4,91873908;0,98071480
-4,91863508;0,98071480
-4,91853108;1,02731300
-4,91842708;1,02731300
-4,91832308;1,02731300
-4,91821908;0,98071480
-4,91811508;1,02731300
-4,91801108;1,02731300
-4,91790708;0,98071480
-4,91780308;0,98071480
-4,91769908;1,02731300
-4,91759508;0,98071480
-4,91749108;1,02731300
-4,91738708;0,98071480
-4,91728308;1,02731300
-4,91717908;0,98071480
-4,91707508;1,02731300
-4,91697108;0,98071480
-4,91686708;1,02731300
-4,91676308;1,02731300
-4,91665908;1,02731300
-4,91655508;0,98071480
-4,91645108;1,02731300
-4,91634708;0,98071480
-4,91624308;1,02731300
-4,91613908;0,98071480
-4,91603508;1,02731300
-4,91593108;0,98071480
-4,91582708;0,98071480
-4,91572308;0,98071480
-4,91561908;0,98071480
-4,91551508;0,98071480
-4,91541108;1,02731300
-4,91530708;1,02731300
-4,91520308;1,02731300
-4,91509908;1,02731300
-4,91499508;1,02731300
-4,91489108;1,02731300
-4,91478708;1,02731300
-4,91468308;1,02731300
-4,91457908;1,02731300
-4,91447508;1,02731300
-4,91437108;0,98071480
-4,91426708;0,98071480
-4,91416308;1,02731300
-4,91405908;1,02731300
-4,91395508;1,02731300
-4,91385108;0,98071480
-4,91374708;1,02731300
-4,91364308;0,98071480
-4,91353908;1,02731300
-4,91343508;1,02731300
-4,91333108;1,02731300
-4,91322708;1,02731300
-4,91312308;1,02731300
-4,91301908;0,98071480
-4,91291508;1,02731300
-4,91281108;1,02731300
-4,91270708;1,02731300
-4,91260308;1,02731300
-4,91249908;1,02731300
-4,91239508;0,98071480
-4,91229108;1,07406500
-4,91218708;0,98071480
-4,91208308;1,02731300
-4,91197908;1,02731300
-4,91187508;0,98071480
-4,91177108;0,98071480
-4,91166708;0,98071480
-4,91156308;0,98071480
-4,91145908;0,98071480
-4,91135508;0,98071480
-4,91125108;1,02731300
-4,91114708;1,02731300
-4,91104308;1,02731300
-4,91093908;1,02731300
-4,91083508;1,07406500
-4,91073108;1,02731300
-4,91062708;0,98071480
-4,91052308;1,02731300
-4,91041908;1,02731300
-4,91031508;1,02731300
-4,91021108;0,98071480
-4,91010708;0,98071480
-4,91000308;1,02731300
-4,90989908;0,98071480
-4,90979508;1,02731300
-4,90969108;0,98071480
-4,90958708;0,98071480
-4,90948308;0,98071480
-4,90937908;1,02731300
-4,90927508;1,02731300
-4,90917108;1,02731300
-4,90906708;1,02731300
-4,90896308;1,02731300
-4,90885908;1,02731300
-4,90875508;1,02731300
-4,90865108;0,98071480
-4,90854708;1,02731300
-4,90844308;0,98071480
-4,90833908;1,02731300
-4,90823508;0,98071480
-4,90813108;1,02731300
-4,90802708;0,98071480
-4,90792308;1,02731300
-4,90781908;0,98071480
-4,90771508;1,02731300
-4,90761108;1,02731300
-4,90750708;1,02731300
-4,90740308;0,98071480
-4,90729908;0,98071480
-4,90719508;1,02731300
-4,90709108;1,02731300
-4,90698708;1,02731300
-4,90688308;1,02731300
-4,90677908;0,98071480
-4,90667508;1,02731300
-4,90657108;1,02731300
-4,90646708;1,02731300
-4,90636308;1,02731300
-4,90625908;1,02731300
-4,90615508;1,02731300
-4,90605108;1,02731300
-4,90594708;0,98071480
-4,90584308;1,02731300
-4,90573908;0,98071480
-4,90563508;0,98071480
-4,90553108;0,98071480
-4,90542708;1,02731300
-4,90532308;0,98071480
-4,90521908;1,02731300
-4,90511508;1,02731300
-4,90501108;1,02731300
-4,90490708;0,98071480
-4,90480308;1,02731300
-4,90469908;1,02731300
-4,90459508;1,02731300
-4,90449108;1,02731300
-4,90438708;1,02731300
-4,90428308;0,98071480
-4,90417908;1,02731300
-4,90407508;0,98071480
-4,90397108;1,02731300
-4,90386708;0,98071480
-4,90376308;1,02731300
-4,90365908;0,98071480
-4,90355508;0,98071480
-4,90345108;0,98071480
-4,90334708;1,02731300
-4,90324308;0,98071480
-4,90313908;0,98071480
-4,90303508;1,02731300
-4,90293108;1,02731300
-4,90282708;0,98071480
-4,90272308;1,02731300
-4,90261908;1,02731300
-4,90251508;1,02731300
-4,90241108;1,02731300
-4,90230708;1,02731300
-4,90220308;1,02731300
-4,90209908;1,02731300
-4,90199508;1,02731300
-4,90189108;1,02731300
-4,90178708;1,02731300
-4,90168308;1,02731300
-4,90157908;0,98071480
-4,90147508;0,98071480
-4,90137108;1,02731300
-4,90126708;0,98071480
-4,90116308;1,02731300
-4,90105908;0,98071480
-4,90095508;0,98071480
-4,90085108;1,02731300
-4,90074708;0,98071480
-4,90064308;1,02731300
-4,90053908;0,98071480
-4,90043508;0,98071480
-4,90033108;1,02731300
-4,90022708;1,02731300
-4,90012308;0,98071480
-4,90001908;1,02731300
-4,89991508;1,02731300
-4,89981108;1,02731300
-4,89970708;1,02731300
-4,89960308;1,02731300
-4,89949908;1,02731300
-4,89939508;1,02731300
-4,89929108;0,98071480
-4,89918708;0,98071480
-4,89908308;0,98071480
-4,89897908;1,02731300
-4,89887508;1,02731300
-4,89877108;0,98071480
-4,89866708;1,02731300
-4,89856308;1,02731300
-4,89845908;1,02731300
-4,89835508;1,02731300
-4,89825108;0,98071480
-4,89814708;1,02731300
-4,89804308;1,02731300
-4,89793908;1,02731300
-4,89783508;0,98071480
-4,89773108;1,12081700
-4,89762708;1,02731300
-4,89752308;1,02731300
-4,89741908;1,02731300
-4,89731508;1,02731300
-4,89721108;1,02731300
-4,89710708;0,98071480
-4,89700308;0,98071480
-4,89689908;1,02731300
-4,89679508;0,98071480
-4,89669108;1,02731300
-4,89658708;1,02731300
-4,89648308;1,02731300
-4,89637908;0,98071480
-4,89627508;0,98071480
-4,89617108;0,98071480
-4,89606708;1,02731300
-4,89596308;1,02731300
-4,89585908;1,02731300
-4,89575508;1,02731300
-4,89565108;1,02731300
-4,89554708;0,98071480
-4,89544308;1,02731300
-4,89533908;1,02731300
-4,89523508;1,02731300
-4,89513108;1,02731300
-4,89502708;1,02731300
-4,89492308;0,98071480
-4,89481908;1,02731300
-4,89471508;0,98071480
-4,89461108;1,02731300
-4,89450708;0,98071480
-4,89440308;1,02731300
-4,89429908;1,02731300
-4,89419508;0,98071480
-4,89409108;1,02731300
-4,89398708;1,02731300
-4,89388308;0,98071480
-4,89377908;1,02731300
-4,89367508;0,98071480
-4,89357108;1,02731300
-4,89346708;0,98071480
-4,89336308;1,12081700
-4,89325908;1,02731300
-4,89315508;1,02731300
-4,89305108;1,02731300
-4,89294708;1,02731300
-4,89284308;1,02731300
-4,89273908;1,02731300
-4,89263508;0,98071480
-4,89253108;0,98071480
-4,89242708;1,02731300
-4,89232308;1,02731300
-4,89221908;1,02731300
-4,89211508;1,02731300
-4,89201108;0,98071480
-4,89190708;1,02731300
-4,89180308;0,98071480
-4,89169908;1,02731300
-4,89159508;0,98071480
-4,89149108;1,02731300
-4,89138708;0,98071480
-4,89128308;0,98071480
-4,89117908;0,98071480
-4,89107508;1,02731300
-4,89097108;0,98071480
-4,89086708;1,02731300
